temp_id	state	age	gender	ethnicity	marital	children	education	income
1	South Carolina	56-65	M	White/Other	Married	0	High School	> 125K
2	Indiana	56-65	M	White/Other	Married	1	High School	75K-100K
3	Illinois		F	White/Other	Married	3	College	100K-125K
4	Michigan	36-45	M	White/Other	Married	1	College	> 125K
5	Pennsylvania	56-65	F	White/Other	Married	0	College	30K-40K
6	Michigan	66+	M	White/Other	Married	0	High School	100K-125K
7	Massachusetts	36-45	M	White/Other	Married	1	High School	50K-75K
8	South Carolina	66+	F	Asian	Married	0	Grad School	> 125K
9	Massachusetts	26-35	F	White/Other	Single	0	High School	50K-75K
10	Kentucky	66+	F	White/Other	Single	0	College	50K-75K
11	New Mexico	56-65	M	White/Other	Married	1	High School	75K-100K
12	Texas	66+	M	White/Other	Married	0	High School	75K-100K
13	Ohio	46-55	F	White/Other	Married	2	College	> 125K
14	Illinois	18-25	F	White/Other	Married	0	High School	50K-75K
15	New York	46-55	F	White/Other	Single	1	High School	30K-40K
16	Missouri	46-55	F	White/Other	Single	3	Grad School	> 125K
17	Texas	66+	M	White/Other	Married	1	College	> 125K
18	Washington	66+	M	White/Other	Married	0	Grad School	75K-100K
19	Pennsylvania	18-25	M	White/Other	Married	0	High School	50K-75K
20	Massachusetts	56-65	F	Asian	Married	1		50K-75K
21	Illinois		F	White/Other	Married	0	High School	> 125K
22	Virginia	66+	M	White/Other	Single	1		> 125K
23	Arizona	26-35	M	White/Other	Married	1	High School	> 125K
24	North Carolina	56-65	M	White/Other	Married	0	Grad School	50K-75K
25	Maryland	46-55	F	White/Other	Married	0	College	50K-75K
26	Massachusetts	66+	F	White/Other	Single	0	High School	40K-50K
27	California	26-35	M	White/Other	Married	0	High School	> 125K
28	California		F	Asian	Married	0		50K-75K
29	Massachusetts	26-35	M	White/Other	Married	0	High School	50K-75K
30	New York	26-35	M	White/Other	Married	1	High School	> 125K
31	Rhode Island	56-65	F	White/Other	Married	0	High School	75K-100K
32	New Hampshire	46-55	F	White/Other	Single	1	High School	50K-75K
33	Pennsylvania	46-55	F	White/Other	Married	2	High School	30K-40K
34	Michigan	56-65	M	White/Other	Married	1	College	> 125K
35	Oklahoma	46-55	M	White/Other	Married	1		30K-40K
36	New Hampshire			White/Other	Married	1		100K-125K
37	New Jersey	46-55	F	White/Other	Single	2	Grad School	> 125K
38	New York	26-35	F	White/Other	Married	1	High School	> 125K
39	California		M	White/Other	Married	1		> 125K
40	Minnesota	56-65	F	White/Other	Married	0		50K-75K
41	Idaho		M	White/Other	Single	0		50K-75K
42	North Carolina	36-45	M	White/Other	Single	0	College	75K-100K
43	New York	56-65	M	White/Other	Married	1	College	> 125K
44	Illinois	66+	F	White/Other	Married	0	College	> 125K
45	California	26-35	M	White/Other	Single	1	High School	50K-75K
46	California	26-35	F	White/Other	Married	1	High School	> 125K
47	Colorado	56-65	F	White/Other	Married	1	High School	30K-40K
48	Wyoming	56-65	M	White/Other	Married	2	High School	30K-40K
49	Minnesota	66+	M	White/Other	Married	1	High School	75K-100K
50	California	46-55	F	White/Other	Married	3	Grad School	75K-100K
51	Maryland	56-65	F	Hispanic	Married	0	Grad School	> 125K
52	Missouri	66+	M	White/Other	Married	0	College	100K-125K
53	Pennsylvania	66+	M	White/Other	Married	0	Grad School	40K-50K
54	California	36-45	M	Asian	Single	1	High School	100K-125K
55	Ohio	66+	F	White/Other	Married	0	High School	> 125K
56	Connecticut	36-45	F	White/Other	Married	0	High School	> 125K
57	California	36-45	F	White/Other	Married	2	High School	100K-125K
58	Indiana	46-55	M	White/Other	Married	0	High School	40K-50K
59	Connecticut	56-65	M	White/Other	Married	0	College	> 125K
60	Louisiana	66+	F	White/Other	Married	0	High School	100K-125K
61	Florida	36-45	F	White/Other	Single	0	High School	50K-75K
62	Connecticut	46-55	M	White/Other	Married	1	College	> 125K
63	Wisconsin	46-55	F	White/Other	Single	0	Grad School	40K-50K
64	Wisconsin	46-55	M	White/Other	Married	0	College	> 125K
65	New Jersey	66+	F	White/Other	Single	1		> 125K
66	Virginia	66+	M	White/Other	Single	1	Grad School	40K-50K
67	California		M	White/Other	Married	0		> 125K
68	Michigan	66+	M	White/Other	Married	0	High School	50K-75K
69	Virginia	26-35	F	African American	Married	1	High School	75K-100K
70	Ohio	18-25	F	White/Other	Married	1	High School	100K-125K
71	Texas	66+	F	White/Other	Married	0	College	100K-125K
72	Washington	56-65	M	White/Other	Married	0	High School	100K-125K
