temp_id	state	age	gender	ethnicity	marital	children	education	income
1	Massachusetts	18-25	F	White/Other	Married	1		100K-125K
2	California	36-45	F	Hispanic	Single	3	College	40K-50K
3	North Carolina	18-25	F	African American	Single	0	Grad School	30K-40K
4	California	18-25	F	White/Other	Married	2	College	> 125K
5	Kentucky	36-45	F	White/Other	Single	0	High School	30K-40K
6	California	18-25	F	White/Other	Single	0	High School	50K-75K
7	California	26-35	F	African American	Married	0	High School	50K-75K
8	California	36-45	F	White/Other	Married	2	High School	40K-50K
9	California	36-45	F	African American	Single	0	College	< 15K
10	Florida	26-35	F	White/Other	Single	0	High School	40K-50K
11	California	18-25	F	Hispanic	Married	0	High School	20K-30K
12	New York	26-35	F	Hispanic	Single	2	College	20K-30K
13	Texas	26-35	F	White/Other	Married	2	High School	50K-75K
14	Texas	36-45	F	White/Other	Married	1	High School	30K-40K
15	California	18-25	M	White/Other	Married	3	High School	> 125K
16	California	18-25	F	Hispanic	Married	1	High School	75K-100K
17	Rhode Island	36-45	F	Hispanic	Single	0	High School	< 15K
18	Massachusetts	18-25	F	White/Other	Single	3		100K-125K
19	Illinois	26-35	M	White/Other	Married	3	High School	40K-50K
20	California		F	White/Other	Single	1		100K-125K
21	California	26-35	F	White/Other	Single	1	High School	> 125K
22	Texas	36-45	F	Hispanic	Married	0	High School	15K-20K
23	California	36-45	F	White/Other	Single	1	High School	50K-75K
24	Massachusetts	66+	F	White/Other	Single	1		30K-40K
25	California	18-25	F	Hispanic	Married	0	High School	20K-30K
26	Pennsylvania	26-35	F	Hispanic	Married	2	High School	30K-40K
27	Nevada	36-45	F	Hispanic	Married	1	College	20K-30K
28	Michigan	36-45	F	Hispanic	Married	1	College	30K-40K
29	California	26-35	F	Hispanic	Married	0		20K-30K
30	California	26-35	F	White/Other	Single	0	High School	40K-50K
31	California	26-35	F	Hispanic	Married	3	High School	40K-50K
32	California	26-35	F	Hispanic	Married	2	High School	> 125K
33	California		M	White/Other	Married	0	High School	20K-30K
